,accident_year,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,enhanced_severity_collision
accident_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location_easting_osgr,,1.0,-0.39842349988373965,0.99963198695036,-0.40505622654388757,-0.31000850466547986,0.0821304613585628,0.033265071467733595,-0.050764888104467845,0.00246800375520301,,-0.0454406340798453,-0.06981524955841006,0.010450309088877278,-0.1729256543010047,0.0924106442988388,0.0793152033807897,0.06582806286031834,0.0735379797805261,0.152874508119249,0.16005707337596667,0.008880659254090201,0.010806391368273655,-0.0312978480286553,0.08359523343249875,0.07938603941553136,-0.11895290348713006,0.1237881305813223,0.33660358688881636,-0.14705871379501423
location_northing_osgr,,-0.39842349988373965,1.0,-0.390785982433487,0.9999001449140048,-0.16003459632619566,-0.0914546487277962,-0.027010010963752384,0.04513114831116962,-0.002174961135333472,,0.05747385446443873,0.022217383768777986,-0.0053355708719153615,0.109473880167648,-0.0508347898633082,-0.06656007257888474,-0.053896492126804495,-0.045308313503895796,-0.11326591533204917,-0.11457549639981054,-0.002280404586983918,0.0005983767664467106,0.014244492796531507,-0.08061639075749955,-0.08128088022028415,0.03282248154194879,-0.06388992164385823,-0.20259941030298828,0.30653359584500417
longitude,,0.99963198695036,-0.390785982433487,1.0,-0.3974439141469058,-0.3107155160632387,0.08231394602851269,0.03319584341935542,-0.05020639926321987,0.0024427521455284472,,-0.044215210115351164,-0.07022258792474592,0.01069458692660475,-0.17040871429743287,0.09077706111302457,0.0782499653005645,0.06467869737629751,0.07244025088681776,0.15141824244097138,0.15805799365398016,0.008596680383125986,0.01059077388399003,-0.03165451198955502,0.082608215452594,0.07831564849552336,-0.11649498807304128,0.12334333441587511,0.3384666883969753,-0.14618427093380942
latitude,,-0.40505622654388757,0.9999001449140048,-0.3974439141469058,1.0,-0.1580295303115101,-0.09128362269387306,-0.02685519215477784,0.04515494735131927,-0.0021512056747398085,,0.057376833141792344,0.0228331506513678,-0.005714661259062482,0.10978879650568692,-0.050822386518735406,-0.06617152301761511,-0.053476823632018826,-0.045052030557268606,-0.113725656127094,-0.11467147131433683,-0.002272773134238406,0.0005987898482798863,0.014351820181039695,-0.08079974664799304,-0.0814852660711339,0.032966912811883506,-0.06398270503810803,-0.20331995558725563,0.30377108648777623
police_force,,-0.31000850466547986,-0.16003459632619566,-0.3107155160632387,-0.1580295303115101,1.0,-0.07884369646533586,-0.009180156831761863,0.08765104438442044,-0.0060461447647138155,,0.05662241440471565,0.006997729900312068,-0.022852426653505016,0.3796074998110831,-0.23845980824725688,-0.1719927573003581,-0.1585935412562217,-0.17652240277348016,-0.23687538762904498,-0.2799357731897324,-0.011766636475650388,-0.05420240779683861,0.004991888743130613,-0.1449969484055483,-0.12918622913948447,0.3398174288354008,-0.1857995042775408,-0.4124182940304717,0.32766795215108213
accident_severity,,0.0821304613585628,-0.0914546487277962,0.08231394602851269,-0.09128362269387306,-0.07884369646533586,1.0,0.09890557303632912,-0.07276749002005908,-0.0036705827685923455,,0.002386545363501094,-0.025462835391669644,-0.011556425476590087,-0.09483669034075559,0.06580884653084326,0.06670001696493388,0.05930893315288794,0.073331706890505,0.08212776625894193,0.07206001856960728,-0.04415404477193908,0.028040454612526584,-0.0009964728590484474,0.05619297529828063,0.04395986951508886,-0.08864643668178049,0.21152317074477692,0.06826928271291786,-0.3145058724077249
number_of_vehicles,,0.033265071467733595,-0.027010010963752384,0.03319584341935542,-0.02685519215477784,-0.009180156831761863,0.09890557303632912,1.0,0.19557271479530394,-0.002795975002371588,,-0.12469861754738618,0.06502513021052586,-0.059336770988458166,0.07566030213885602,0.07578146915547224,0.08814956261891525,0.0785253170848645,0.0873197835532565,0.0018749859884586114,-0.04463943203154682,-0.09187958893364147,-0.041536488930503664,-0.041288982666576726,0.005820078219895641,-0.009214717278172822,0.034416781992228584,0.023336966107687814,-0.026985294893265677,-0.021936880108090334
number_of_casualties,,-0.050764888104467845,0.04513114831116962,-0.05020639926321987,0.04515494735131927,0.08765104438442044,-0.07276749002005908,0.19557271479530394,1.0,0.00492373299127157,,-0.08400872933403289,0.05650582233732367,-0.03489730187489552,0.20222570074384147,-0.046891725010837805,-0.05770379433872327,-0.05195525831362148,-0.04585966768624072,-0.06735668948071316,-0.08541402867603795,0.026420253582283813,-0.0138398302621687,0.0221132953829199,-0.04078735032599078,-0.04064581205842257,0.1651922514588363,-0.15973971939274018,-0.08828938420005257,0.08654282270546962
day_of_week,,0.00246800375520301,-0.002174961135333472,0.0024427521455284472,-0.0021512056747398085,-0.0060461447647138155,-0.0036705827685923455,-0.002795975002371588,0.00492373299127157,1.0,,-0.0001384178103539239,0.0022118709213825986,0.005388718595383976,-0.007383398315266207,0.0005541267061997227,0.0009065395082264873,-0.0013666541250325812,-0.0014666283708812018,0.003321994210099099,0.0056980973408059235,0.013198716759196961,0.006741615394049996,0.007546431461303124,0.004516220007854314,0.0011252128552000872,-0.00575733161907253,0.006398906533402823,0.007060609592527592,0.0017777018247618311
local_authority_district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_road_class,,-0.0454406340798453,0.05747385446443873,-0.044215210115351164,0.057376833141792344,0.05662241440471565,0.002386545363501094,-0.12469861754738618,-0.08400872933403289,-0.0001384178103539239,,1.0,-0.7046479328496034,0.28956350005024695,-0.2753873008918136,0.04547763440693379,0.08852087587290045,0.104070011027195,-0.026915097360395046,-0.019818965057491214,-0.10191981946957458,-0.04348475229697309,-0.01685935345640368,-0.01619001803207967,-0.007282379416205455,-0.0013398088745299685,-0.16455076693500476,0.06256141647487284,0.23948100069128664,0.08710387867526403
first_road_number,,-0.06981524955841006,0.022217383768777986,-0.07022258792474592,0.0228331506513678,0.006997729900312068,-0.025462835391669644,0.06502513021052586,0.05650582233732367,0.0022118709213825986,,-0.7046479328496034,1.0,-0.14053720080408647,0.14614537056398602,0.0008675407635725552,-0.02783852920735899,-0.024139310986130782,0.05915852283222478,-0.008746718386567987,0.08651817281722758,0.03042403177609445,0.008575423098732216,0.015680166705815943,-0.010521056787115053,-0.018313808375505405,0.09594932697296728,-0.06035053680722136,-0.04783501843990619,-0.0052404329572348545
road_type,,0.010450309088877278,-0.0053355708719153615,0.01069458692660475,-0.005714661259062482,-0.022852426653505016,-0.011556425476590087,-0.059336770988458166,-0.03489730187489552,0.005388718595383976,,0.28956350005024695,-0.14053720080408647,1.0,-0.19001803957126548,0.11325875641812777,0.045328593124637516,0.0703272899835075,-0.06908169400180542,0.11025596186952297,0.03045996657987999,-0.024215286186171386,0.03918370801946309,0.03370890789816064,0.09506123554110128,0.09778730468008923,-0.0554407083460915,0.08198323883066266,0.15645112110406512,-0.011225935076229942
speed_limit,,-0.1729256543010047,0.109473880167648,-0.17040871429743287,0.10978879650568692,0.3796074998110831,-0.09483669034075559,0.07566030213885602,0.20222570074384147,-0.007383398315266207,,-0.2753873008918136,0.14614537056398602,-0.19001803957126548,1.0,-0.30412316280291973,-0.2669667235703311,-0.2979708997823968,-0.23598581261223028,-0.18641304258535332,-0.300311417901884,0.040174824995110624,-0.016077450149830412,0.06441750919422595,-0.09109063392106179,-0.0848900865673708,0.640992854783949,-0.24723098898652984,-0.3254300220758113,0.22537068629929702
junction_detail,,0.0924106442988388,-0.0508347898633082,0.09077706111302457,-0.050822386518735406,-0.23845980824725688,0.06580884653084326,0.07578146915547224,-0.046891725010837805,0.0005541267061997227,,0.04547763440693379,0.0008675407635725552,0.11325875641812777,-0.30412316280291973,1.0,0.8169133949357685,0.8491998919928093,0.8057442295333328,0.1516048741441042,0.2504179000706878,-0.02814849726357436,0.02462349626507239,-0.008969054125669302,0.08937352929370156,0.0762292279643922,-0.2748037046412122,0.10107139923126442,0.16756088177217277,-0.15656932208921598
junction_control,,0.0793152033807897,-0.06656007257888474,0.0782499653005645,-0.06617152301761511,-0.1719927573003581,0.06670001696493388,0.08814956261891525,-0.05770379433872327,0.0009065395082264873,,0.08852087587290045,-0.02783852920735899,0.045328593124637516,-0.2669667235703311,0.8169133949357685,1.0,0.8792235342302005,0.8184835818082905,0.12960900950215218,0.1394148775899194,-0.04294731302178863,0.013992667396509539,-0.001362335316523976,0.08853801451043153,0.0822650381529173,-0.22502994217287842,0.10584399599284366,0.16106053251416816,-0.1592315655561589
second_road_class,,0.06582806286031834,-0.053896492126804495,0.06467869737629751,-0.053476823632018826,-0.1585935412562217,0.05930893315288794,0.0785253170848645,-0.05195525831362148,-0.0013666541250325812,,0.104070011027195,-0.024139310986130782,0.0703272899835075,-0.2979708997823968,0.8491998919928093,0.8792235342302005,1.0,0.7283177572990542,0.0933600497431482,0.16434475078840935,-0.04274333238518594,0.004499068473962953,-0.021380627017740808,0.04920853170457446,0.039136214785875076,-0.27234762448730787,0.0880392391188054,0.18352025129662783,-0.12863414063277476
second_road_number,,0.0735379797805261,-0.045308313503895796,0.07244025088681776,-0.045052030557268606,-0.17652240277348016,0.073331706890505,0.0873197835532565,-0.04585966768624072,-0.0014666283708812018,,-0.026915097360395046,0.05915852283222478,-0.06908169400180542,-0.23598581261223028,0.8057442295333328,0.8184835818082905,0.7283177572990542,1.0,0.0985176161695049,0.2289997717343412,-0.022842450099431547,0.008140937226064899,-0.020873545392123532,0.04662519804208981,0.03240543246150941,-0.22226587896606273,0.09866017773119193,0.13942403987191834,-0.13934100159901497
pedestrian_crossing_human_control,,0.152874508119249,-0.11326591533204917,0.15141824244097138,-0.113725656127094,-0.23687538762904498,0.08212776625894193,0.0018749859884586114,-0.06735668948071316,0.003321994210099099,,-0.019818965057491214,-0.008746718386567987,0.11025596186952297,-0.18641304258535332,0.1516048741441042,0.12960900950215218,0.0933600497431482,0.0985176161695049,1.0,0.5768414942742948,-0.014405586494421311,0.09856026949998958,0.060594534445516345,0.6409171487482996,0.6396034591188547,-0.141190563199625,0.29071927424706845,0.08357245619439961,-0.19031502088604824
pedestrian_crossing_physical_facilities,,0.16005707337596667,-0.11457549639981054,0.15805799365398016,-0.11467147131433683,-0.2799357731897324,0.07206001856960728,-0.04463943203154682,-0.08541402867603795,0.0056980973408059235,,-0.10191981946957458,0.08651817281722758,0.03045996657987999,-0.300311417901884,0.2504179000706878,0.1394148775899194,0.16434475078840935,0.2289997717343412,0.5768414942742948,1.0,0.0004440446653671233,0.06355889325421513,0.021924917163929428,0.42760070243609344,0.41839836882000375,-0.2987727472978197,0.23893154853435206,0.14228932346893583,-0.21054063423856845
light_conditions,,0.008880659254090201,-0.002280404586983918,0.008596680383125986,-0.002272773134238406,-0.011766636475650388,-0.04415404477193908,-0.09187958893364147,0.026420253582283813,0.013198716759196961,,-0.04348475229697309,0.03042403177609445,-0.024215286186171386,0.040174824995110624,-0.02814849726357436,-0.04294731302178863,-0.04274333238518594,-0.022842450099431547,-0.014405586494421311,0.0004440446653671233,1.0,0.1583479063527647,0.22338905015879332,-0.003617862559168758,0.004826240402918263,0.02045040999857306,-0.0697812921370198,-0.016189784344927398,0.003093507572752287
weather_conditions,,0.010806391368273655,0.0005983767664467106,0.01059077388399003,0.0005987898482798863,-0.05420240779683861,0.028040454612526584,-0.041536488930503664,-0.0138398302621687,0.006741615394049996,,-0.01685935345640368,0.008575423098732216,0.03918370801946309,-0.016077450149830412,0.02462349626507239,0.013992667396509539,0.004499068473962953,0.008140937226064899,0.09856026949998958,0.06355889325421513,0.1583479063527647,1.0,0.5490808608310646,0.09273288025025514,0.09259439692986421,-0.015391842835837898,0.07312944845463376,-0.012884083546668755,-0.031000080490443636
road_surface_conditions,,-0.0312978480286553,0.014244492796531507,-0.03165451198955502,0.014351820181039695,0.004991888743130613,-0.0009964728590484474,-0.041288982666576726,0.0221132953829199,0.007546431461303124,,-0.01619001803207967,0.015680166705815943,0.03370890789816064,0.06441750919422595,-0.008969054125669302,-0.001362335316523976,-0.021380627017740808,-0.020873545392123532,0.060594534445516345,0.021924917163929428,0.22338905015879332,0.5490808608310646,1.0,0.11148183507798194,0.10857834553667538,0.0568621539496043,-0.0705607980440335,-0.04203786916799656,-0.0022168009045825847
special_conditions_at_site,,0.08359523343249875,-0.08061639075749955,0.082608215452594,-0.08079974664799304,-0.1449969484055483,0.05619297529828063,0.005820078219895641,-0.04078735032599078,0.004516220007854314,,-0.007282379416205455,-0.010521056787115053,0.09506123554110128,-0.09109063392106179,0.08937352929370156,0.08853801451043153,0.04920853170457446,0.04662519804208981,0.6409171487482996,0.42760070243609344,-0.003617862559168758,0.09273288025025514,0.11148183507798194,1.0,0.7406752648778651,-0.06014668944574132,0.18291335975937442,0.044134089674953386,-0.14429311992777172
carriageway_hazards,,0.07938603941553136,-0.08128088022028415,0.07831564849552336,-0.0814852660711339,-0.12918622913948447,0.04395986951508886,-0.009214717278172822,-0.04064581205842257,0.0011252128552000872,,-0.0013398088745299685,-0.018313808375505405,0.09778730468008923,-0.0848900865673708,0.0762292279643922,0.0822650381529173,0.039136214785875076,0.03240543246150941,0.6396034591188547,0.41839836882000375,0.004826240402918263,0.09259439692986421,0.10857834553667538,0.7406752648778651,1.0,-0.05516681001425917,0.16120403285484788,0.03785247770449193,-0.129459941740464
urban_or_rural_area,,-0.11895290348713006,0.03282248154194879,-0.11649498807304128,0.032966912811883506,0.3398174288354008,-0.08864643668178049,0.034416781992228584,0.1651922514588363,-0.00575733161907253,,-0.16455076693500476,0.09594932697296728,-0.0554407083460915,0.640992854783949,-0.2748037046412122,-0.22502994217287842,-0.27234762448730787,-0.22226587896606273,-0.141190563199625,-0.2987727472978197,0.02045040999857306,-0.015391842835837898,0.0568621539496043,-0.06014668944574132,-0.05516681001425917,1.0,-0.20519969561650936,-0.27636314789014754,0.14296159145567267
did_police_officer_attend_scene_of_accident,,0.1237881305813223,-0.06388992164385823,0.12334333441587511,-0.06398270503810803,-0.1857995042775408,0.21152317074477692,0.023336966107687814,-0.15973971939274018,0.006398906533402823,,0.06256141647487284,-0.06035053680722136,0.08198323883066266,-0.24723098898652984,0.10107139923126442,0.10584399599284366,0.0880392391188054,0.09866017773119193,0.29071927424706845,0.23893154853435206,-0.0697812921370198,0.07312944845463376,-0.0705607980440335,0.18291335975937442,0.16120403285484788,-0.20519969561650936,1.0,0.14000104450446585,-0.10473338885629292
trunk_road_flag,,0.33660358688881636,-0.20259941030298828,0.3384666883969753,-0.20331995558725563,-0.4124182940304717,0.06826928271291786,-0.026985294893265677,-0.08828938420005257,0.007060609592527592,,0.23948100069128664,-0.04783501843990619,0.15645112110406512,-0.3254300220758113,0.16756088177217277,0.16106053251416816,0.18352025129662783,0.13942403987191834,0.08357245619439961,0.14228932346893583,-0.016189784344927398,-0.012884083546668755,-0.04203786916799656,0.044134089674953386,0.03785247770449193,-0.27636314789014754,0.14000104450446585,1.0,-0.11379664232549938
enhanced_severity_collision,,-0.14705871379501423,0.30653359584500417,-0.14618427093380942,0.30377108648777623,0.32766795215108213,-0.3145058724077249,-0.021936880108090334,0.08654282270546962,0.0017777018247618311,,0.08710387867526403,-0.0052404329572348545,-0.011225935076229942,0.22537068629929702,-0.15656932208921598,-0.1592315655561589,-0.12863414063277476,-0.13934100159901497,-0.19031502088604824,-0.21054063423856845,0.003093507572752287,-0.031000080490443636,-0.0022168009045825847,-0.14429311992777172,-0.129459941740464,0.14296159145567267,-0.10473338885629292,-0.11379664232549938,1.0
