,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
accident_year,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0
location_easting_osgr,0.25118101784736585,-0.3252659196292582,-0.15391312484367853,0.1091147193776292,-0.20680281968449646,-0.2273943046125798,-0.05214823463760568,0.04596921933175382,-0.2137515907469886,0.019969271533067844,-0.008615950602431787,0.05178554793970266,0.10371403332823553,0.22198053338527543,-0.270199612587147,-0.02510780507214602,-0.018242171020882915,0.003432577694570376,-0.11881159295003521,-0.014784884863900371,0.0539068287052588,-0.004273276769815057,0.0049296095716295715,-0.030421868067807202,0.011434919789404306,-0.004246937389571336,-0.7031360826762868,-0.02428065709595388,-0.0,0.0
location_northing_osgr,-0.21278083495390301,0.3409495157137661,0.18045255357755405,0.15382442096113472,-0.3593578042403874,-0.10067747557678486,-0.06010549621301562,0.25481811837997337,-0.13815690795162422,0.013692165626932044,-0.08164922496490022,-0.009755025355366055,-0.05774250311467176,0.04263856877395065,-0.1006287529314994,0.00034078940739098144,0.002577126418194601,-0.039299062100361444,-0.06317760570189837,0.0004022517489539655,0.05222379265577851,-0.04087925659757075,-0.01856018998816141,0.1421432710427463,-0.0515371865127889,0.0018056276891880564,-0.02059707653882729,0.7067848534996057,1.1684911933100546e-15,0.0
longitude,0.2523245866341466,-0.32946838784201454,-0.15447649500161645,0.1094717378065929,-0.20780888005086984,-0.22620340983285717,-0.04928457854553392,0.04597326169747221,-0.2074876063227999,0.018802488272733398,-0.012358502740137002,0.055154086739153035,0.09667893963102234,0.21431181162205376,-0.25987082167961734,-0.027044482380744535,-0.022167947714091214,0.0033298728756315905,-0.11526897681926501,-0.015490465505566984,0.05424605072479482,-0.006214931864692492,0.006020560073923757,-0.02901953043398545,0.011370963205900649,-0.004279750751159812,0.7102157492708356,0.021395907156043257,-1.7685155776330655e-18,0.0
latitude,-0.2128804270483076,0.34109568464398127,0.18123664081924498,0.15326578149336265,-0.3594493328551439,-0.09920532579184523,-0.059167125442336904,0.2551333569476864,-0.13634742929722787,0.01343743074157202,-0.08217426540983146,-0.009911614426577084,-0.05925282895747129,0.04049526481807458,-0.09862524765170375,0.00035490365778649433,0.0026583846291496206,-0.039645615473614206,-0.06313573371865847,0.0005315281369627089,0.05226512998072501,-0.0420913466048972,-0.017725738183947057,0.14397994916157736,-0.05209610137575222,0.001982019295617416,0.025033999383699428,-0.7066836228534542,-1.1167387060287593e-15,0.0
police_force,-0.23879706954077454,0.12517162199374696,-0.07958701899741996,-0.08577221294575549,0.40446680934128004,-0.038426737345269774,-0.1263122071847382,-0.21990078443292263,-0.14024723561799082,0.03163148029770818,0.17417026540794042,0.04993521726694751,0.25371203399133835,0.35185290177249307,-0.19546879111148044,-0.06329349254651558,-0.1155675322620748,0.042647400975097595,-0.017349350078090856,-0.024106128679762483,0.07169315608881813,-0.14141291360480765,-0.0033435479688650707,0.5602248905317246,-0.21272731945991805,0.0033439172921770877,0.005588731067086254,-0.00042289799360782686,1.6250382209493603e-16,0.0
accident_severity,0.1120005084206122,-0.03799945990067342,0.028914172952129398,-0.11614123963689756,0.12168376689993009,0.38782764099192735,-0.1924884463761082,0.503221325555765,-0.07459365992045752,0.024855875303321263,-0.03809632586136874,0.12392970040627498,-0.18327886495367246,0.2744551582481523,-0.09393084028060256,-0.1575554433683682,-0.38132709296524947,0.22300960350145524,0.36842003977328425,-0.03811703628674062,-0.08945610889667259,0.06363213407298195,-0.016519233669293573,-0.07365605796021685,0.022709772871476103,0.005924778810715066,-0.0007922610703621539,-0.0002896168674219305,2.1758308597331204e-17,0.0
number_of_vehicles,-0.006083001685544331,-0.0364888776763608,-0.05668165300607018,-0.27360936355937493,-0.12249141079714983,-0.1463788713109253,-0.3687150991193589,0.270512628257315,0.4087720143379289,-0.006301718190480315,0.17339791458524362,0.01422125332316212,0.21139993888063233,0.15221208676672915,0.2407375343709774,-0.44036643111609663,0.36234126161048275,-0.059886391249878664,-0.052471433150822935,-0.0625302010438518,0.12469891777716292,-0.018095028475316056,-0.02078808505154003,0.0024333538439703325,0.00161176957756477,0.0003101148795357492,-9.328482868070864e-05,0.00011764783460515848,-7.627928801149865e-17,0.0
number_of_casualties,-0.07825438417755445,-0.0017612403775899828,-0.11488425906840892,-0.17436653680018255,-0.10839620132801624,-0.3036592868497004,-0.14103053597180598,0.08357504005957708,0.5129406044608511,-0.021935379817486396,0.25240756240813306,-0.16373259562050663,-0.11880677423014466,0.034045103538749774,-0.1862655687843937,0.517460507116019,-0.3734721673122022,0.06775756606357769,-0.014836242144386322,0.033453891968521755,-0.04276514366082417,0.0017995141639799252,-0.017382415526572312,-0.0013771224045297202,-0.0001623688806085976,0.006960944449861842,1.153328650251076e-06,-2.1600350959832346e-05,1.8398263924741166e-16,0.0
day_of_week,0.005584461379324664,0.003490014916727025,-0.0022446091653338025,0.007373740724243569,-0.0028028503976214344,-0.004730825780117033,0.05093309115947067,-0.014983719653498763,0.09789231651620137,0.9916185659608231,-0.04294016486453748,0.029365599615457375,-0.0060230519345868296,-0.02703211880260698,-0.01998878845293202,-0.015483223728245973,-0.000655728577948751,-0.0018969355638992953,-0.0010927047317762202,-0.0032590310477146347,0.0032846204922819745,0.00171618647122502,0.0014454398618993804,0.0009222602085098656,0.0029228044277842375,-0.0021107999565108987,4.996598611168264e-05,7.457370136727352e-07,-2.0234748261125462e-17,0.0
local_authority_district,2.117582368135751e-22,0.0,-3.469446951953614e-18,5.551115123125783e-17,2.7755575615628914e-17,-2.7755575615628914e-17,-9.71445146547012e-17,-4.163336342344337e-17,1.1102230246251565e-16,-1.3877787807814457e-17,-1.3010426069826053e-17,3.8163916471489756e-17,1.3010426069826053e-16,-8.326672684688674e-17,-2.7755575615628914e-17,1.6653345369377348e-16,8.326672684688674e-17,4.336808689942018e-17,1.1102230246251565e-16,4.85722573273506e-17,1.1102230246251565e-16,5.48172618408671e-16,4.85722573273506e-17,-1.1102230246251565e-16,1.3877787807814457e-16,8.465450562766819e-16,5.637851296924623e-17,-1.5950782361606741e-15,1.0,0.0
first_road_class,0.044687195570458686,0.012431057009279595,0.2533501898399728,0.43475043693511206,0.307352265362654,-0.14834267615054325,-0.10434465248048838,0.023768906017200445,0.10243581198914244,-0.008295187410170601,0.1887933270188586,0.1741957251772729,-0.1929226613040611,-0.028682560309809375,0.0993147294410138,-0.1020100770354914,-0.19655719901725396,0.16105060891773404,-0.2591687576745563,-0.1934587646282429,0.500083086607934,-0.04830211253476038,0.1678402941825103,-0.1702822457992937,0.0554350871971401,-0.006639313525259223,-0.0019341966275348487,-6.641315003819127e-05,3.993627141438668e-17,0.0
first_road_number,-0.04649390128191222,0.06889080119201522,0.04060302170788391,-0.23937147142100806,-0.24735010472581392,0.22818535586173797,0.3235239475144261,-0.23612629598396762,0.3068489779720951,-0.06354512804588401,-0.4334975807130931,0.06572402039291247,0.14813845387481547,0.31659252805115895,-0.0486180333782523,-0.1127606632677072,-0.22965923036307911,0.16636479489642228,-0.2476725828258378,-0.11192382131960377,0.2516391419646629,-0.007249383960195494,0.09377723727462087,-0.07327861901576546,0.028174943546564305,0.012640149340281554,-0.0009027042686445512,0.00025639401073467775,-9.970950118015464e-17,0.0
road_type,0.08179013304864025,0.10003710599948684,0.071227061785599,0.3018509312750457,0.26851601703571154,-0.15864076788253495,0.0035276473004753985,-0.02195617883190107,0.3866386235813888,-0.060415822304000895,-0.3686296239473905,0.16457482898954762,-0.18423195571848106,0.29993562964849646,-0.27502982872661363,-0.021142714672874586,0.23401362973131568,-0.34245355437179126,0.1856619936175886,0.09963594907454704,-0.2212944326259568,-0.03480158855402981,0.06121623107131517,-0.03838769233250349,0.011646459857936161,0.03572607155959594,0.0002725961383582328,-0.00015351382589475594,-5.2508283248460555e-17,0.0
speed_limit,-0.22031265365311425,0.016821976065587982,-0.38756852489438454,-0.2158655016058285,0.019794034551117706,-0.17552483864837837,-0.054379384665791196,0.0660127191668901,-0.17563336105072969,0.008764684063160522,-0.17630929424739586,0.12446828742593531,-0.18198900169280047,-0.08632334066615376,0.10043012298620906,0.0031206290123749958,-0.03104946720919367,-0.08247496498699988,0.08680595955328264,-0.000102297115339443,0.05545333792403756,-0.2809518785684134,0.6940817360622821,-0.08993336553407055,0.022362147522378167,-0.0055929894613417795,-0.00285018396207065,0.00043002123869625644,1.5771409034979826e-16,0.0
junction_detail,0.2383914156293893,0.15216884949141457,0.07130418168912546,-0.16354906446847628,0.09450795302125614,-0.18507645578020374,-0.051669207492356414,0.017180431849184455,-0.07806790030957061,0.007615596513672725,-0.21750589791330682,0.046552817482448126,-0.0977632071499006,0.0918263517058984,0.06346531870833125,0.33992983435828983,0.42857216252482605,0.5812969634346817,0.08648703326274802,-0.2634333035962367,0.017702872824187376,-0.08074112301326143,-0.052164222232465175,0.05941286354350172,-0.031019655001379362,-0.19060153236615415,0.0010838398384701814,-9.310378991396779e-05,2.0651639916826335e-16,0.0
junction_control,0.21445777586684772,0.05775734631320828,0.3739150362419695,-0.3690308043020282,0.09413601902765958,-0.3010388075651844,0.034166210576350414,-0.014309333764242312,-0.153101803917558,0.01206414622425966,-0.04750932715727154,0.02630544221114795,-0.046319333964144345,-0.019578706048054922,0.03423724281841239,-0.04021038254021126,-0.09080445962215601,-0.05768002747927746,-0.02354054936067835,0.03156776520084345,-0.03610946584984281,0.014992020811077299,0.016971809355045667,-0.0037270105667848697,0.00821027630120704,0.725908997469681,0.00020258638850743145,8.412180462634715e-05,-5.5680596836931575e-16,0.0
second_road_class,0.1780498068395944,0.01816381989763906,0.4165587176495093,-0.3199985391897601,0.086714524211209,-0.2841957077822779,0.037241418318169295,-0.024708175883059885,-0.11150625424972292,0.0062868944402847725,-0.054887645890063064,-0.08428849169374804,0.02229246525964857,-0.01913921181817732,0.023603210556039318,-0.13416595753310342,-0.24155317543653682,-0.2594348924202599,0.028439251491179516,0.08528658007969578,-0.025279667480786562,-0.0036208864551816413,0.04008925513830467,-0.026446306238881785,0.007135484155333811,-0.6503892480586757,-0.00014690626075657975,-5.104747043980698e-05,4.931799007746603e-16,0.0
second_road_number,-0.005783260421427376,0.04497936142128316,0.08737233545325346,-0.21704124108928338,-0.20038487783405362,0.11316050053231512,0.18327018150042243,-0.14887544224590474,0.010424377276197072,-0.014980157094275776,0.4620509810467819,0.6752647310858206,-0.29099802231662114,0.0448527423350788,-0.17717067120585656,0.004855216368596725,0.16605993766949895,-0.03877888017936875,-0.04497093802281062,0.019825809293042045,-0.08360726354440025,0.019733405652678896,0.01726250657173404,-0.002286748050099793,0.0020937559506510875,-0.08600980620884603,-0.00011731833411919487,0.00011209787672383728,1.0244159966046573e-16,0.0
pedestrian_crossing_human_control,0.29840445085617906,0.27448679644428514,-0.1682343105952242,0.010070104990846708,-0.05425538410093025,0.03954757235576774,-0.13853005622821002,-0.1201259455878443,-0.009580099910352257,0.003628848826602056,0.01803466729501907,-0.05964873327042622,-0.06816995800192553,0.005838691707545121,0.01922972598129998,0.010318859876355717,-0.0021936706340741643,-0.09093610434767833,0.011594860126875156,-0.05529684750841827,0.10790209891962199,0.7675959161495333,0.3192765057034939,0.1859086600181406,-0.10445928732500127,-0.014433589457731693,0.0010459293901908,-0.00021995610913340646,-3.6803629074383636e-16,0.0
pedestrian_crossing_physical_facilities,0.2704266124351898,0.20156952523477273,-0.0565130533282898,-0.04105733323672981,-0.15311172513844962,0.13860582045903233,-0.04617055494058526,-0.20656369471603184,-0.012858939025465782,0.005424180196886598,0.1309753816756329,-0.15257431535618587,0.004002977662686044,-0.013573840023354758,-0.1500674307222877,0.06377478551107385,0.05209517076884329,-0.24609356440733243,0.5104859991143915,-0.07442275245293874,0.5300361964365208,-0.3108152152316638,-0.09953549383329459,-0.08001846284627753,0.025527727623980753,0.050708535714585154,0.0005527111571498436,2.4285718324293655e-05,9.285042663808537e-17,0.0
light_conditions,-0.010454516760735888,0.028730205066709702,-0.1299116944149566,0.01865325256699254,0.03076160907237831,-0.10836591782331619,0.5065690139345017,0.10123552990320275,-0.07281179233104007,0.019250139626375444,0.27393192887819207,-0.4119551004455985,-0.3892679364436991,0.46743168717466693,0.24067841370110743,-0.11342268099274512,0.09112127742521953,-0.03309119525487557,-0.01599515740644776,-0.031195233772156033,-0.005360550944883933,0.00010494496188296885,-0.019324623321997345,0.0028523141191532718,-0.0030382641794149943,0.003579749275972752,0.00014044150235404746,7.092264227352028e-05,1.9985743073328447e-17,0.0
weather_conditions,0.13157894022943625,0.16396867371255097,-0.12899814584715963,0.04854006184576738,0.11255461532924901,-0.07290379145672182,0.38597626624992565,0.35926022788462625,0.035962719703024976,-0.02064829799021372,0.07956737528030378,0.2143417581331917,0.4374950354116374,-0.08506561770179405,0.06883812587764604,0.15159841865679766,-0.09393456236163522,-0.2478822381629255,0.03768878672998079,-0.5286131562187791,-0.09563642795380638,-0.007684914163646994,0.006195044974614131,0.0007957426459923345,-0.0013532653864184684,0.0074695521619201595,-8.518360208665505e-06,-5.502943974554607e-05,-6.806952384461159e-17,0.0
road_surface_conditions,0.16217399683846812,0.21811679741233564,-0.1837723825174684,0.01080771226528665,0.13369211356889935,-0.14073777118855899,0.3340729232434731,0.2611625235833277,0.07720323370826922,-0.03022462896592504,0.029085739298662303,0.11041466096176362,0.20466983176282325,-0.1637356171264023,-0.10800896277136496,-0.09845952874956955,0.02277193713687146,0.2648266222504209,0.036180618979048326,0.6668050155943728,0.21601613407002576,0.0167823009417959,-0.014294163832948669,0.01487026854951881,-0.01894559818622484,-0.021326289403387537,0.0004995293763701282,8.659176789650093e-06,-3.516968065382853e-17,0.0
special_conditions_at_site,0.2590956613317919,0.30767025600603404,-0.2153606171616874,0.0329109438309728,-0.025929145844243325,-0.010440501108640938,-0.11234253000417149,-0.12887094984854644,0.015610554752308653,-0.0026700505566763805,0.02145250521943961,-0.030089569612374686,-0.10071473656293288,-0.08176785459751222,-0.009563404359861525,-0.22284048039326754,-0.15641946584101793,0.05888989756819255,-0.20547935022688799,-0.06474443505823851,-0.2649131400611332,-0.23384395521851112,-0.11742876152219392,-0.28464240356617665,-0.6312639773156997,-0.004935451133057612,-0.00015350005321640832,-3.7584952059278024e-05,2.33109319839462e-16,0.0
carriageway_hazards,0.25769103558968387,0.3143076037399438,-0.21652382514817214,0.040007883698201165,-0.020561499429549164,-0.022291144604736312,-0.10500453989664463,-0.1313810645353359,0.016574688739040812,-0.007605195065442733,0.027346084398147792,-0.03299442548132956,-0.09460854065158347,-0.08035066943978109,-0.019588010041305396,-0.2246258529460317,-0.15123119670840024,0.07724376834225896,-0.17205923836286735,-0.06605732174773628,-0.24671844216739422,-0.19192853663572465,-0.07771608719810945,0.21282596935969952,0.690375748958247,-0.015303677443500715,-0.0004950221358621817,2.4922010117464778e-05,7.477771152961198e-17,0.0
urban_or_rural_area,-0.19610156375696688,0.008161396564792029,-0.3518974051908692,-0.16904481180819633,0.1306931198604078,-0.20536349000624293,-0.04929786061851726,0.02616876356427906,-0.1194026791528475,-0.005844968561919061,-0.2803127415853626,0.23968627338636173,-0.27565281038857553,-0.05420787648814308,0.10844480276466135,-0.006205215412593948,-0.09783005655435709,-0.18771063435318686,-0.05139583785526321,-0.05676573576375999,0.27862458969024123,0.19648881376145635,-0.5802048600421876,-0.028349870686892726,0.024349444777927116,-0.026699123015803943,-0.002294352742003682,-0.0004998759903611247,-1.4706309447699957e-16,0.0
did_police_officer_attend_scene_of_accident,0.22659830668767952,0.09777312773400738,-0.0008807839518651026,0.05369982880933814,-0.016789851416112358,0.2038541636965917,-0.19850545731493557,0.039849029974165354,-0.09749304682424202,0.04065396666824435,-0.01642679851324779,0.18089055049371666,0.11103224870960364,0.3483018906046267,0.4997502397496356,0.42627815882552517,-0.044290805701879314,-0.23359683934684083,-0.2348528494147454,0.32792593633891715,0.015536425274913578,-0.15277817169960792,-0.011917529729603575,-0.01872995042316383,0.028393596822461703,-0.004661398195892054,0.00010012616372577957,0.00015198286114891452,9.704989080578791e-17,0.0
trunk_road_flag,0.22641564763699937,-0.2951214898590182,0.0194623231867277,0.14667521403367184,-0.21234618968513067,-0.0533092704404122,0.12114535390404399,0.006813667203518297,0.20699653751579927,-0.03970960809573305,-0.13510764599572145,0.14043321683334578,-0.20634030469039621,-0.19354156753532836,0.31695826287849693,-0.08438995067569773,-0.16109139868094952,0.02325142332371489,0.17975426350895746,-0.009488083449713138,0.013416744645959822,-0.15786768807231616,0.0011048609076800553,0.6103475748182484,-0.22437013887485197,0.010882955110469845,-0.009393171985889228,0.0019215327485958764,1.2639563533008483e-16,0.0
enhanced_severity_collision,-0.18011791024677246,0.09556930639269143,-0.004655397723130041,0.21463927995267015,-0.18844972462194154,-0.34392115511748195,-0.01689377610642274,-0.31389456749521394,-0.03948402021478572,0.007079022560452579,0.06586936443126709,0.1964855685765942,0.23168139266885818,0.19970770545992123,0.3236601162182016,-0.1020136800156753,-0.1987210415991724,0.219340089761793,0.46752374492335824,0.03863278007138053,-0.16106282108603867,0.13379756408501164,-0.04258447562541577,-0.22055845769783042,0.06492454225920886,0.0159476340381135,-0.0009885089604600042,-0.0012173426548321078,-9.888950798134688e-17,0.0
